id,title,genre,album_id
1,Wacced Out Murals,Hip-hop,1
2,Squabble Up,Hip-hop,1
3,Luther,Hip-hop,1
4,Man at the Garden,Hip-hop,1
5,Hey Now,Hip-hop,1
6,Reincarnated,Hip-hop,1
7,TV Off,Hip-hop,1
8,Dodger Blue,Hip-hop,1
9,Peekaboo,Hip-hop,1
10,Heart Pt. 6,Hip-hop,1
11,GNX,Hip-hop,1
12,Gloria,Hip-hop,1
13,United in Grief,Hip-hop,2
14,N95,Hip-hop,2
15,Worldwide Steppers,Hip-hop,2
16,Die Hard,Hip-hop,2
17,Father Time,Hip-hop,2
18,Rich (Interlude),Hip-hop,2
19,Rich Spirit,Hip-hop,2
20,We Cry Together,Hip-hop,2
21,Purple Hearts,Hip-hop,2
22,Count Me Out,Hip-hop,2
23,Crown,Hip-hop,2
24,Silent Hill,Hip-hop,2
25,Savior (Interlude),Hip-hop,2
26,Savior,Hip-hop,2
27,Auntie Diaries,Hip-hop,2
28,Mr. Morale,Hip-hop,2
29,Mother I Sober,Hip-hop,2
30,Mirror,Hip-hop,2
31,Rich Flex,Hip-hop,3
32,Major Distribution,Hip-hop,3
33,On BS,Hip-hop,3
34,Backoutsideboyz,Hip-hop,3
35,Privileged Rappers,Hip-hop,3
36,Spin Bout U,Hip-hop,3
37,Hours in Silence,Hip-hop,3
38,Treacherous Twins,Hip-hop,3
39,Circo Loco,Hip-hop,3
40,Pussy & Millions,Hip-hop,3
41,Broke Boys,Hip-hop,3
42,Middle of the Ocean,Hip-hop,3
43,Jumbotron Shit Poppin,Hip-hop,3
44,More M’s,Hip-hop,3
45,3am on Glenwood,Hip-hop,3
46,I Guess It’s Fuck Me,Hip-hop,3
47,Champagne Poetry,Hip-hop,4
48,Papi’s Home,Hip-hop,4
49,Girls Want Girls,Hip-hop,4
50,In The Bible,Hip-hop,4
51,Love All,Hip-hop,4
52,Fair Trade,Hip-hop,4
53,Way 2 Sexy,Hip-hop,4
54,TSU,Hip-hop,4
55,N 2 Deep,Hip-hop,4
56,Pipe Down,Hip-hop,4
57,Yebba’s Heartbreak,Hip-hop,4
58,No Friends In The Industry,Hip-hop,4
59,Knife Talk,Hip-hop,4
60,7am On Bridle Path,Hip-hop,4
61,Race My Mind,Hip-hop,4
62,Fountains,Hip-hop,4
63,Get Along Better,Hip-hop,4
64,You Only Live Twice,Hip-hop,4
65,IMY2,Hip-hop,4
66,Fucking Fans,Hip-hop,4
67,The Remorse,Hip-hop,4
68,SOS,R&B,5
69,Kill Bill,R&B,5
70,Seek & Destroy,R&B,5
71,Low,R&B,5
72,Love Language,R&B,5
73,Blind,R&B,5
74,Used,R&B,5
75,Snooze,R&B,5
76,Notice Me,R&B,5
77,Gone Girl,R&B,5
78,Smoking on My Ex Pack,R&B,5
79,Ghost in the Machine,R&B,5
80,F2F,Pop,5
81,Nobody Gets Me,R&B,5
82,Conceited,R&B,5
83,Special,R&B,5
84,Too Late,R&B,5
85,Far,R&B,5
86,Shirt,R&B,5
87,Open Arms,R&B,5
88,I Hate U,R&B,5
89,Good Days,R&B,5
90,Forgiveless,R&B,5
91,All I Can Take,R&B,6
92,Daisies,Pop,6
93,Yukon,R&B,6
94,Go Baby,R&B,6
95,Things You Do,R&B,6
96,Butterflies,R&B,6
97,Way It Is,Hip-hop,6
98,First Place,Pop,6
99,Soulful,R&B,6
100,Walking Away,Pop,6
101,Glory Voice Memo,Pop,6
102,Devotion,R&B,6
103,Dadz Love,R&B,6
104,Therapy Session,Pop,6
105,Sweet Spot,R&B,6
106,Standing on Business,Pop,6
107,405,Pop,6
108,Swag,R&B,6
109,Zuma House,Pop,6
110,Too Long,R&B,6
111,Forgiveness,R&B,6
112,Alone Again,R&B,7
113,Too Late,Pop,7
114,Hardest to Love,R&B,7
115,Scared to Live,R&B,7
116,Snowchild,R&B,7
117,Escape from LA,R&B,7
118,Heartless,Pop,7
119,Faith,Pop,7
120,Blinding Lights,Pop,7
121,In Your Eyes,Pop,7
122,Save Your Tears,Pop,7
123,Repeat After Me (Interlude),R&B,7
124,After Hours,R&B,7
125,Until I Bleed Out,R&B,7
126,Hollywood’s Bleeding,Hip-hop,8
127,Saint-Tropez,Pop,8
128,Enemies,Hip-hop,8
129,Allergic,Rock,8
130,A Thousand Bad Times,Pop,8
131,Circles,Pop,8
132,Die for Me,Hip-hop,8
133,On the Road,Hip-hop,8
134,Take What You Want,Rock,8
135,I’m Gonna Be,Pop,8
136,Staring at the Sun,Pop,8
137,Sunflower,Pop,8
138,Internet,Pop,8
139,Goodbyes,Hip-hop,8
140,Myself,Pop,8
141,I Know,Pop,8
142,Wow,Pop,8
143,Stargazing,Hip-hop,9
144,Carousel,Hip-hop,9
145,Sicko Mode,Hip-hop,9
146,R.I.P. Screw,Hip-hop,9
147,Stop Trying to Be God,Hip-hop,9
148,No Bystanders,Hip-hop,9
149,Skeletons,Hip-hop,9
150,Wake Up,Hip-hop,9
151,5% Tint,Hip-hop,9
152,NC-17,Hip-hop,9
153,Astrothunder,Hip-hop,9
154,Yosemite,Hip-hop,9
155,Can’t Say,Hip-hop,9
156,Who?What!,Hip-hop,9
157,Butterfly Effect,Hip-hop,9
158,Houstonfornication,Hip-hop,9
159,Coffee Bean,Hip-hop,9
160,We Don’t Trust You,Hip-hop,10
161,Young Metro,Hip-hop,10
162,Ice Attack,Hip-hop,10
163,Type Shit,Hip-hop,10
164,Claustrophobic,Hip-hop,10
165,Like That,Hip-hop,10
166,Slimed In,Hip-hop,10
167,Magic Don Juan (Princess Diana),Hip-hop,10
168,Cinderella,Hip-hop,10
